매물번호,카테고리,거래분류,임대료,보증금,대지면적,연면적,부동산이름,매물확인날짜,광고형태,공개여부,상세주소,매물특징,매물설명,주소,건물이름
2206400080,지식산업센터,월세,120,"1,200",170,86,제이타워공단부동산공인중개사사무소,20220302,,Y,108호,전용26 저층 드라이브인 호실앞주차,"▣ 부평IC 바로 앞 지식산업센터
▣ 저층 임대
▣ 드라이브인 호실 앞 주차가능
▣ 구내식당, 은행, 커피숍, 스크린골프장 등 입점
▣ 신축 지식산업센터",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206239148,공장,매매,,"3억 4,500",15788,114100,부평제이타워공인중개사사무소,20220226,,Y,434,저층 전용26ㅍ 발코니별도2.5ㅍ 6m높이의 소형신축공장,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206235649,지식산업센터,월세,100,"1,000",169,86,부평제이타워공인중개사사무소,20220226,,Y,1019,앞이 확트이고 깔끔한 소형공장 전용26ㅍ 발코니2.5ㅍ,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206238310,지식산업센터,매매,,"3억 7,000",169,86,부평제이타워공인중개사사무소,20220226,,Y,102,1층 전용26ㅍ 발코니별도2.5ㅍ 6.5m높이의 소형신축공장,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205891920,공장,월세,100,"1,000",15788,170,모아부동산컨설팅공인,20220225,현장,Y,612,공장내 차량진입 및 상하차가능  전용2ㅍ,"6층공장
층고5m
베란다2.5평 별도
전기 삼상380/25kw   증설도 가능",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2206113739,지식산업센터,월세,120,"1,000",169,86,부평제이타워공인중개사사무소,20220225,,Y,236,저층 저렴한임대 신축공장 전용26ㅍ 베란다 2.5ㅍ  호실앞주차,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205947499,지식산업센터,월세,120,"1,200",169,86,부평제이타워공인중개사사무소,20220224,소유자,Y,120호,1층 전용26ㅍ 발코니별도2.5ㅍ 6.5m높이의 소형신축공장,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205895363,중소형사무실,월세,70,"1,000",93,47,모아부동산컨설팅공인,20220224,,Y,1122호,,"11층 공장등록가능한 사무실
천장 텍스 마감
산업용전기 10~15kw사용가능
11층 주차가능
대형화물승강기",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205810151,공장,매매,,3억,15788,95,(주)공단부동산공인중개사사무소,20220223,소유자,Y,부평 제이타워3차지식산업센터제101호,지식산업센터소형공장 전용26ㅍ 분양52ㅍ 층고5.5미터복층가 공장내차량 ,"**임대낀 매물임(수익률4~5%) 공장앞 주차도 가능합니다~ 
부평IC인접하여 물류접근성도 아주 좋습니다~ 
기타 궁금한 사항 및 국가산업단지 입주관련 전화문의주시면 
자세한 상담 도와 드리겠습니다~

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205827429,지식산업센터,월세,300,"3,000",170,86,제이타워공단부동산공인중개사사무소,20220223,,Y,643호,전용52 사무실인테리어O 시설좋음,"☞ 2칸을 인테리어한 사무실 (전용26*2=52평)
☞ 깔끔한 인테리어로 업무효율성↑
☞ 회의실, 탕비실 등(사진참고)
☞ 천장 냉난방기 설치
☞ 택스마감+LED등+바닥타일
☞ 사진상의 필요한 집기 사용 가능
☞ 정보통신업 또는 지식산업 업종 사무실 추천",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205754153,지식산업센터,월세,55,500,57,29,부평산단공인중개사사무소,20220223,,Y,12층 1214호,아담하고 조용한 소형 사무실기숙사아닙니다,"전용면적 29㎡의 소형 사무실입니다.

부평제이타워3차에서는 귀한 임대매물입니다.

-

부평산단공인중개사사무소
032-650-5881",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205759991,지식산업센터,월세,120,"1,200",170,86,부평산단공인중개사사무소,20220223,,Y,1층 108호,1층 공장과 창고로 사용가능한 지식산업센터,"접근성이 좋은 1층 공장 호실입니다.

부평산단공인중개사사무소
032-650-5881",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205752303,공장,월세,120,"1,000",5805,86,나공단공인중개사사무소,20220222,소유자,Y,108호,신축지식산업센터 1층전용 26ㅍ,"*부평 ic인접 교통여건 좋은 지식산업센터
*갈산역 바로 근접하여 인력수급용이함
*1층으로 대형차 진입하여 물건상하차 편리
*층고 6m
*호실앞 주차가능",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205635878,공장,매매,,"7억 4,000",15788,95,(주)공단부동산공인중개사사무소,20220222,소유자,Y,부평 제이타워3차 지식산업센터 제101호,신축아파트형공장 상하차쵝오 분양104ㅍ 전용52ㅍ 공장안차량진출입복층가,"**공장앞 주차, 부평IC인접하여 물류접근성 쵝오~ 
인천1호선 갈산역 도보5분~ 대형화물엘베~
그 외 궁금한 사항이나 산업단지 입주관련 전화문의 
주시면 자세한 상담 도와드리겠습니다~

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205641226,공장,월세,220,"2,200",15788,95,(주)공단부동산공인중개사사무소,20220222,소유자,Y,부평 제이타워3차 지식산업센터 제101호,최저가 1층신축공장창고 전용52ㅍ 공장안차량진출입 층고5.6m 부평IC ,"**공장앞 주차, 부평IC인접하여 물류접근성 쵝오~ 
인천1호선 갈산역 도보5분~ 대형화물엘베~
그 외 궁금한 사항이나 산업단지 입주관련 전화문의 
주시면 자세한 상담 도와드리겠습니다~

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205664594,지식산업센터,월세,120,"1,000",170,86,김규태공인중개사사무소,20220222,소유자,Y,부평 제이타워3차 지식산업센터 부평 제이타워3차 지식산업센터 108호,부평제이타워3차 차량 공장 내부로 진출입 가능,"O 물건특징 - 드라이브 인 시스템으로 공장 앞에 차량 2대를 주차할 수 있습니다. 
             슬라이딩 도어로 차량이 공장 안으로 진출입할 수 있습니다.
O 전철-인천지하철 1호선 갈산역 (476m) 도보 7분

부평 갈산동(갈산역)에서 또는 청천동에서 지식산업센터의 공장을 매매하거나 임대하실 때 또는 갈산역 인근의 지식산업센터를 매매하거나 임대차 하실 때 저희 김규태공인중개사를 찾아주시면 신뢰를 바탕으로 성심을 다해 중개하겠습니다.

문    의 : 갈산역 이안아파트 정문 앞 김규태공인중개사
전화번호 : 010-4513-1826 / 032-506-8924
등록번호 : 가3360-2858
주    소 : 인천광역시 부평구 평천로 305 (갈산동 160-17번지)",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205701172,지식산업센터,월세,200,"2,000",80,40,제이타워공단부동산공인중개사사무소,20220222,,Y,01월 02일,전용12 첫입주 대로변 근생,"▣ 갈산역 인근
▣ 첫 즉시입주
▣ 프랜차이즈/분식점 등 추천
▣ 전용 약 12평
▣ 대로변에 있어 홍보효과 좋음",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205702375,지식산업센터,월세,100,"1,000",169,86,부평제이타워공인중개사사무소,20220222,,Y,817,앞이 확트인 깔끔한 소형공장 전용26ㅍ 발코니2.5ㅍ,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205609291,지식산업센터,월세,150,"2,000",86,63,명공인중개사사무소,20220222,,Y,02월 09일,현공실 즉시입주가,"*전용19P 사무실 쇼핑몰 대리점 추천
*카리프트+화물엘베 따로 있음 
*공실 즉시입주가능 
*주변입지조건 좋음 
*갈산역부근 대형차 진입용이하며 인력수급원활한지역",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205579688,지식산업센터,월세,100,"1,000",170,86,모아부동산컨설팅공인,20220222,,Y,812호,,"층고5m
전기25kw",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205579982,공장,월세,70,"1,000",15788,93,모아부동산컨설팅공인,20220222,,Y,1140호,,"부평 IC 바로 인접함
단지내 편의시설(식당,은행,병원,약국,편의점)

 ",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205623069,지식산업센터,월세,150,"3,000",124,63,제이타워공단부동산공인중개사사무소,20220222,,Y,03월 11일,전용19 지식산업센터 지원시설 근린생활시설 음식점등,"▣ 전용 19평
▣ 근린생활시설
▣ 지식산업센터 내 지원시설
▣ 코너자리 (남동향/양창)
▣ 건물 내 병원, 카페, 기업은행, 스크린골프 등 입점",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205624328,지식산업센터,월세,100,"1,000",169,86,제이타워공단부동산공인중개사사무소,20220222,,Y,840,전용26 드라이브인 층고높음,"▣ 전용 약 26평
▣ 갈산역 / 부평IC 인근
▣ 건물 내 편의점, 카페, 식당 입점
▣ 부평국가산업단지
▣ 드라이브인 시스템, 호실 앞 주차 가능
▣ 화물승강기 有",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205579770,지식산업센터,월세,110,"1,200",169,86,모아부동산컨설팅공인,20220222,,N,330호,,"3층 동향 공장
층고5.5m
동력25kw(삼상380) ,증설가능",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205579732,공장,월세,100,"1,000",15788,169,모아부동산컨설팅공인,20220222,,N,1003,,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205579812,공장,월세,100,"1,000",15788,170,모아부동산컨설팅공인,20220222,,N,9층 946호,9층 공장  분양52ㅍ 전용26ㅍ 베란다2.5ㅍ,"공장앞 주차가능, 상하차 가능",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205175617,중소형사무실,월세,80,"1,000",100,50,모아부동산컨설팅공인,20220219,현장,Y,1245호,천장시스템 냉난방기  전용15ㅍ 베란드1.5ㅍ,"12층 사무실 / 공장등록가능
천장형 시스템에어컨 2대 (냉난방가능)
냉장고, 정수기, 책장, 칸막이된 사무실
",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205184914,지식산업센터,월세,100,"1,000",98,86,모아부동산컨설팅공인,20220219,현장,Y,804,,"8층공장 
층고5m
동력25kw(삼상380)  증설가능
  ",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205062625,지식산업센터,매매,,"3억 7,500",98,86,(주)공단부동산공인중개사사무소,20220218,현장,Y,102,신축지식산업센터 1층 전용26ㅍ 분양52ㅍ 공장내차량진입가 물류창고가 ,"*부평 제이타워3차 신규 입주입니다~ 부평IC진입쵝오!!!
인천1호선 갈산역 도보5분~ 대형화물엘베~ 
그 외 궁금한 사항이나 산업단지 입주관련 전화문의 
주시면 자세한 상담 도와드리겠습니다

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205206925,지식산업센터,매매,,"1억 8,500",100,50,부평제이타워공인중개사사무소,20220218,,Y,1256,대로변쪽 전용15.37ㅍ 발코니1.5ㅍ,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205206402,공장,매매,,"3억 2,500",15788,114100,부평제이타워공인중개사사무소,20220218,,Y,745,7층 환한 대로변쪽 전용26ㅍ 발코니2.5ㅍ,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205236827,지식산업센터,단기임대,60,80,33,18,라일2차부동산공인중개사사무소,20220218,,Y,제이타워3차 지식산업센터 14-084호,"부평IC 바로옆 신축급 복층원룸, 기숙사사용가능","○ 저희  라일2차 부동산은 고객감동, 
  믿음과 신뢰를 바탕으로 성실히 중개할 것을 약속 드리며, 
  전화주시면 성심껏 답변해 드릴 것 을 약속 드립니다.○

 
★★★ 매물 정보 및 설명 ★★★

* 위치 : 부평구 청천동

* 구조 : 1룸 (방1/욕실1) 

* E/V : 있음

* 풀옵션, 공실 바로입주가능 

* 주차 :  가능

* 부평 IC 나오자마자 위치. 작전역, 갈산역 사이 위치.

* 작전홈플러스 인근

* 신축급 정말깨끗한 원룸, 넓은복층입니다

* 주변 일하시는 분들 기숙사로 사용 최고, 서울 출퇴근하시는분들 최고!! 

* 짧은 단기 문의 주세요 

* 전화, 문자, 카톡 24시간 문의 상담 가능 합니다

★  광고에 올리지못한 인천 전지역 매물 보유. 
    이사날짜, 가격, 위치, 원하시는 조건 상담후 매물 소개 가능합니다.

   매물은 많습니다. 전문적인 상담을 통해 원하시는 매물 찾을수있게 도와드립니다.",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205217213,공장,월세,120,"1,200",15788,114100,부평제이타워공인중개사사무소,20220218,,Y,108,1층 전용26ㅍ 발코니별도2.5ㅍ 6.5m높이의 소형신축공장,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205208089,지식산업센터,월세,70,"1,000",97,49,부평제이타워공인중개사사무소,20220218,,Y,1141,경량제조 또는 사무실용도 전용15ㅍ 베란다1.5ㅍ,"옆호실까지 임대가능
",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205207447,지식산업센터,월세,150,"1,500",169,86,부평제이타워공인중개사사무소,20220218,,Y,645,,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205185617,지식산업센터,월세,100,"1,000",98,86,모아부동산컨설팅공인,20220218,,Y,931호,9층공장   전용26ㅍ 베란다2.5ㅍ," * 부평IC인접  갈산지하철역인접
층고5m
 ",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205185558,공장,월세,240,"2,400",15788,340,모아부동산컨설팅공인,20220218,,N,"316호,317호",공장내 상하차가능 전용52ㅍ 베란다5ㅍ,"3층공장
공장앞 주차 5대가능
층고5.5m
제조업 및 식품, 비제조업도 입주가능",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205185291,공장,월세,100,"1,000",15788,170,모아부동산컨설팅공인,20220218,,N,617호,공장앞 주차가능 전용26ㅍ 베란다2.5,"6층공장
공장앞 상하차 작업 가능
층고5m",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204946525,지식산업센터,월세,150,"1,500",54,47,(주)공단부동산공인중개사사무소,20220217,현장,Y,1136,신축전용29ㅍ 삼실쇼핑몰소형경량공장 부평IC 인천1호선갈산역5분 창고가 ,"* 드라이브인시스템, 전용29평, 분양58평,
인천1호선 갈산역 도보5분~ 대형화물엘베~ 
그 외 궁금한 사항이나 산업단지 입주관련 전화문의 
주시면 자세한 상담 도와드리겠습니다~ 

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204737520,지식산업센터,월세,140,"1,500",98,86,모아부동산컨설팅공인,20220216,현장,Y,437,복층공장 전용26ㅍ베란다2.5ㅍ,"4층 복층공장
공장앞 주차가능 상하차가능
공장앞 5톤차량 진입가능
층고5.5m
",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204979413,지식산업센터,매매,,"1억 1,000",18,18,대동공인중개사사무소,20220216,,Y,13-017,놀라운가격 투자금적게 들어 투자적격,,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204969381,지식산업센터,월세,150,"2,000",169,86,스마트공단부동산공인중개사사무소,20220216,,Y,437,"복층 인테리어, 부평IC 인근 지식산업센터, 드라이브인","▶ 갈산역 및 부평 IC 인근 지식산업센터

▶ 복층 인테리어. 전용 약40ㅍ

▶ 층고 5.5m

▶ 문 앞까지 차량이 갈 수 있는 드라이브인 시스템

▶ 에어컨 설치

▶ 즉시 입주 가능",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204963099,지식산업센터,월세,45,500,36,18,스마트공단부동산공인중개사사무소,20220216,,Y,15-076,"지식산업센터 기숙사, 복층, 풀옵션","▶ 갈산역 인근 지식산업센터로 교통 편리

▶ 복층. 효율적인 공간 활용

▶ 신축으로 깨끗한 인테리어

▶ 시세보다 저렴한 가격

▶ 즉시 입주 가능",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204934537,지식산업센터,월세,120,"1,500",169,86,타워부동산공인중개사사무소,20220216,,Y,1021,"타워부동산,전용26 ,갈산역 역세권,부평IC초근접,신축,즉시입주","#매물정보
 - 공급 51p[전용26p]
 - 신축 아파트형공장
 - 드라이브인 시스템
 - 갈산역 도보 6분 이용가능
 - 부평IC 인접
 - 공실, 즉시 입주 가능
 - 인승강기 / 화물승강기
 - 공장,사무실,창고 이용가능

 # 인천1호선 갈산역 도보 6분 이용 가능

 # 사무실, 공장 및 창고 사용 가능

 # 인천지역 및 부천지역 일반공장,아파트형공장,사무실
 평수별로 다양한 매물을 보유하고 있습니다.

 # 원하시는 조건을 말씀해 주시면 매매/임대 모두
 반드시 찾아드리고 있으니 전화주시기 바랍니다.

 #일반공장, 아파트형공장, 사무실 전문 부동산

 ---타워부동산(032-719-4924)---",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204915536,공장,월세,110,"1,100",15788,170,모아부동산컨설팅공인,20220216,,N,421호,4층공장 공장앞 5톤차량진입 가능,"전용26ㅍ 베란다2.5ㅍ
츧고5.5m
동력 삼상380/30kw",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204915662,지식산업센터,월세,110,"1,100",98,86,모아부동산컨설팅공인,20220216,,N,539호,제이타워3차 5층공장  전용26ㅍ 베란다2.5ㅍ,"5층공장앞 5톤차량 진입가능
공장앞 상하차 가능
층고5.5m
동력25kw",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204915365,공장,월세,110,"1,100",15788,170,모아부동산컨설팅공인,20220216,,N,219호,,"공장앞 주차 및 상하차가능
층고5.5m,  5톤차 공자앞까지 진입가능
동력30kw",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205135305,지식산업센터,월세,240,"2,000",340,172,제이타워공단부동산공인중개사사무소,20220216,,Y,"323호, 324호",전용52 2칸,"▣ 부평IC 인근 신축 지식산업센터
▣ 저층 임대
▣ 드라이브인 호실 앞 주차가능
▣ 2칸임대",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2205063525,공장,월세,90,"1,000",15788,114100,공단타워공인중개사사사무소,20220216,,Y,842호,"전용26,신축아파트형공장 공장드라이브인가능","◎전용26P 층고6미터 서비스면적있음
◎옆호실 까지 추가 임대가능 
◎공실 즉시입주가능 
◎부평ic 바로앞 갈산역 등 주변입지조건 좋음 



이 외 공장 지식산업센터 상가 평수 층수 다양하게
매물을 보유하고 있습니다. 원하시는 조건을 맞춰드리겠습니다. 
전화 주시면 성실하고 친절하게 상담 드리겠습니다.",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204489627,지식산업센터,월세,150,"2,000",98,86,공장공인중개사사무소,20220215,현장,Y,437,초역세권 깨끗한 공장 사무실 지식산업센터 시설최상,"*별도로 복층 11평 공사 되어있음

*냉,난방기 시설
*고객님의 불편함이 없이 계약부터 입주완료까지 책임지고 중개해드리고있습니다.

*국가산단의 특이점으로 입주제한업종이 있으니 체크부탁드립니다.

*역사와 전통이 있는 공장부동산으로 문의주세요.








*안녕하세요~ 공장부동산입니다~

*전화주시면 좀더 자세하고 친절하게 상담해드리겠습니다.

*좋은하루되세요~ ^^

* 언제든 전화주세요~ 친절하게 안내드리겠습니다~~ *^^*

* 100% 실제 매물!

* 시세에 맞지 않는 낚시성 물건 NO!~



 공장공인중개사사무소 홈페이지 바로가기 https://blog.naver.com/seoinwon10




",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204478944,공장,월세,110,"1,200",15788,170,모아부동산컨설팅공인,20220215,현장,Y,103,제이타워3차  전용26  베란다2.5,"1층 공장 
층고6.0m
동력25kw(산업용)",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204478781,지식산업센터,월세,100,"1,000",98,86,모아부동산컨설팅공인,20220215,현장,Y,1019,,"10층공장
동력25kw
층고5.5m
부평IC접함",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204889730,지식산업센터,월세,150,"2,000",123,62,명공인중개사사무소,20220215,,Y,02월 08일,현공실 즉시입주가,"1)2층 지원시설 제2종근린생활시설-일반음식점가능
2)드라이브인 시스템, 호실 앞 주차 가능
3)전용18p 층고 높음
4)대지 16만평 대규모 서운산업단지
5)2022.1 기준 100여개 사업장 입주완료 
6)계양, 부천 3기 신도시와 연계성 우수
7)경인고속도로 서운IC, 서울외각 순환도로 계양IC접근성우수",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204737589,공장,월세,100,"1,000",15788,86,모아부동산컨설팅공인,20220215,,N,912호,,"층고5.0m,
동력50kw (삼상380) 증설도 가능
공장내 차량진입 및 상하차 가능",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204737655,지식산업센터,월세,100,"1,000",169,86,모아부동산컨설팅공인,20220215,,N,733호,공장내 차량진입 및 상하차가능 분양51ㅍ 전용26ㅍ,제이타워3차 7층 공장 ,인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204697190,지식산업센터,월세,40,500,18,18,일류공인중개사사무소,20220214,,Y,13-081,복층 원룸 풀옵션,"* 갈산역 근처 역세권

* 사업자 가능, 부가세 별도",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204479037,지식산업센터,월세,100,"1,000",170,86,모아부동산컨설팅공인,20220212,,N,8층 810호,제이타워3차8층공장  전용26ㅍ베란다2.5ㅍ,"층고5m
동력25kw(삼상380)
공장내 차량진입가능 상하차 가능",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
2204478988,지식산업센터,월세,110,"1,100",169,86,모아부동산컨설팅공인,20220212,,N,328호,공장내 차량진입 및 상하차가능  전용26ㅍ 베란다2.5ㅍ,"층고5.5m
동력 산업용25kw",인천광역시 부평구 청천동 426-1번지,부평 제이타워3차 지식산업센터
