articleNo,articleName,tradeTypeName,floorInfo,rentPrc,dealOrWarrantPrc,area1,area2,realtorName,search_day,articleDetail.verificationTypeName,articleDetail.mapLocationIndicationYn,articleDetail.etcAddress,articleDetail.articleFeatureDescription,articleDetail.detailDescription,articleBuildingRegister.platPlc,address,building_name
2203678182,지식산업센터,월세,10월 15일,100,"1,000",98,86,모아부동산컨설팅공인,20220207,,Y,1039호,공장내 차량진입 및 상하차가능 분양51ㅍ 전용26ㅍ,"10층 공장
층고5m
동력 산업용25kw /증설가능",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203677323,중소형사무실,월세,12월 15일,80,"1,000",100,50,모아부동산컨설팅공인,20220207,,Y,1259호,"냉난방기,책장,사무실,전용15ㅍ  베란다2ㅍ","12층 공장 등록 가능한 사무실 
천장 텍스 마감
동력10~15kw(산업용)
갈산역 도보 7분거리, 부평IC인접한 교통요지",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203344169,공장,월세,15/B1,110,"1,200",15788,169,모아부동산컨설팅공인,20220207,,Y,330,,"3층 공장,층고5.5m
동력25kw(삼상380) 증설도 가능

",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203314407,지식산업센터,월세,02월 15일,130,"1,300",86,86,공단타워공인중개사사사무소,20220207,,Y,131호 일부,,"●전용25P  
●층고 3.5m  ,3m
●복층되어있음
●주변입지조건 좋음 
●대형차 진입용이하며 갈산역도보5분 인력수급원활한지역



이 외 공장 지식산업센터 상가 평수 층수 다양하게
매물을 보유하고 있습니다. 원하시는 조건을 맞춰드리겠습니다. 
전화 주시면 성실하고 친절하게 상담 드리겠습니다.",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201352602,지식산업센터,월세,01월 15일,120,"1,200",98,86,모아부동산컨설팅공인,20220207,현장,Y,104,지층없는 공장   전용26ㅍ  베란다2.5ㅍ,"1층 공장 , 지하가 없는 관계로 진동 없음
CNC,머시,임가공 적극추천
층고6M, 동력 삼상380 25kw(증설도 가능)
2개호길 또는 3개호실 동시 임대가능",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201230303,지식산업센터,월세,04월 15일,110,"1,100",96,84,모아부동산컨설팅공인,20220207,현장,Y,425,제이타워3차 6층 공장내 차량진입 및 상하차 가능 ,"6층 공장  분양 51p 전용29p 발코니2.5p
부평IC인접함
층고5m
동력25kw     ",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201091437,중소형사무실,월세,12월 15일,70,"1,000",100,50,모아부동산컨설팅공인,20220207,현장,Y,1252,,"천장텍스 시공
대형 화물승강기
동력: 삼상380(산업용10kw) - 증설가능",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202276967,공장,월세,15/-,110,"1,500",15788,95,(주)공단부동산공인중개사사무소,20220207,소유자,Y,부평 제이타워3차 지식산업센터 제101호,최저가 1층신축공장창고 전용26ㅍ 공장차량진출입가 층고5.6m 부평IC ,"**공장앞 주차, 부평IC인접하여 물류접근성 쵝오~ 
인천1호선 갈산역 도보5분~ 대형화물엘베~
그 외 궁금한 사항이나 산업단지 입주관련 전화문의 
주시면 자세한 상담 도와드리겠습니다~

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202282077,공장,매매,15/-,,"2억 9,500",15788,95,(주)공단부동산공인중개사사무소,20220207,소유자,Y,부평 제이타워3차지식산업센터제101호,지식산업센터 전용26ㅍ 분양52ㅍ 공장안차량진출입주차가 소형공장전자쇼핑몰,"**임대낀 매물임(수익률4.3%) 공장앞 주차도 가능합니다~ 
부평IC인접하여 물류접근성도 아주 좋습니다~ 
기타 궁금한 사항 전화문의주시면 자세한 상담 도와 드리겠습니다~

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202275760,공장,매매,15/-,,"15억 2,000",15788,95,(주)공단부동산공인중개사사무소,20220207,소유자,Y,부평 제이타워3차 지식산업센터 제101호,신축아파트형공장 상하차쵝오 분양211ㅍ 전용109ㅍ 공장안차량진출입복층가,"**공장앞 주차, 부평IC인접하여 물류접근성 쵝오~ 
인천1호선 갈산역 도보5분~ 대형화물엘베~
그 외 궁금한 사항이나 산업단지 입주관련 전화문의 
주시면 자세한 상담 도와드리겠습니다~

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203675839,지식산업센터,월세,06월 15일,100,"1,000",169,86,모아부동산컨설팅공인,20220207,,N,613호,제이타워3차 공장  분양51ㅍ 전용26ㅍ ,"6층공장
베란다2.5평
층고5m
공장앞 주차가능, 상하차 가능",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2200751662,지식산업센터,매매,10월 15일,,"2억 9,600",98,86,모아부동산컨설팅공인,20220207,현장,Y,1024,제이타워3차 공장 전용26ㅍ 베란다2.5ㅍ,"10층 공장 고5m
동력25kw(삼상380) - 증설가능
공장내 2.5톤 차량 진입가능, 상하차 가능
",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203034227,지식산업센터,매매,03월 15일,,"20억 3,136",1021,517,금강공인중개사사무소,20220207,,Y,3층314 315 316 317 318 319호,"갈산역세권, 현재 5년 병원임대완료, 투자수익10프로 ",수익률 최상의 지식산업센타 지원시설 ,인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2203294359,지식산업센터,월세,04월 15일,110,"1,200",170,86,모아부동산컨설팅공인,20220207,,N,4층429호,,"동력25kw(삼상380)
공장앞 차량진입 및 상하차 가능
",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202969713,지식산업센터,매매,02월 15일,,"3억 9,600",170,86,구월공인중개사사무소,20220207,,Y,인천광역시 부평구 청천동426-1 215호,내과 .정형외과 한방병원으로  임대중,"현) 한방병원 매매 총 호수  215호 216호 217호 218호 219호
 총 공급면적188.28평  총 전용면적 95.33평
총 매매대금 19억8천만원
 총보8천만 월790만으로 임대중",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202795684,지식산업센터,월세,09월 15일,100,"1,000",170,86,모아부동산컨설팅공인,20220207,,Y,936호,제이타워3차 공장  전용26,"9층공장
공장앞 차량진입가능
층고5m
동력25kw(사용량만 자동 측정 전기료부과) 산업단지내라 전기요금이 저렴해요",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202862869,지식산업센터,월세,01월 01일,120,"1,200",170,86,제이타워공단부동산공인중개사사무소,20220207,,Y,108호,전용26 저층 드라이브인 호실앞주차,"▣ 부평IC 바로 앞 지식산업센터
▣ 저층 임대
▣ 드라이브인 호실 앞 주차가능
▣ 구내식당, 은행, 커피숍, 스크린골프장 등 입점
▣ 신축 지식산업센터",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202860702,지식산업센터,매매,03월 15일,,"3억 6,500",170,86,구월공인중개사사무소,20220207,,Y,인천광역시 부평구 청천동426-1 314호,내과.정형외과.한방병원 입점 진료중,"2층 현)한방종합 병원 314호 315호 316호 317호 318호 319호 총 분양면적 225.22평 전용면적 114.03평
총 보증금 8천만원  월세790만원 부가세별도
총 매매금액 21억9천",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2200635010,지식산업센터,월세,05월 15일,110,"1,200",98,86,모아부동산컨설팅공인,20220207,현장,Y,541,,"공장앞 상하차 및 주차 가능
층고5.5m
동력 삼상380,25kw
융자금은 공동 담보임
",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201617951,지식산업센터,월세,01월 15일,140,"2,000",86,86,(주)공단부동산공인중개사사무소,20220207,소유자,Y,부평 제이타워3차 지식산업센터 제102호,신축전용29ㅍ 삼실쇼핑몰소형경량공장 부평IC 인천1호선갈산역5분 창고가 ,"* 드라이브인시스템, 전용29평, 분양58평,
인천1호선 갈산역 도보5분~ 대형화물엘베~ 
그 외 궁금한 사항이나 산업단지 입주관련 전화문의 
주시면 자세한 상담 도와드리겠습니다~ 

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201473686,지식산업센터,매매,01월 15일,,"3억 7,000",98,86,(주)공단부동산공인중개사사무소,20220207,소유자,Y,102,신축지식산업센터 1층 전용26ㅍ 분양52ㅍ 공장안차량진입가 물류창고가 ,"*부평 제이타워3차 신규 입주입니다~ 부평IC진입쵝오!!!
인천1호선 갈산역 도보5분~ 대형화물엘베~ 
그 외 궁금한 사항이나 산업단지 입주관련 전화문의 
주시면 자세한 상담 도와드리겠습니다

--->이밖에 15p 30p 40p 50p 80p 100p 200p 300p 400p 500p~
1000p 2000p~ 하시 입주가~

# 청천동 부평공단내 단독공장 매각중입니다~
(250평-38억, 400평-54억, 500평-43억, 620평-95억
920평-95억, 1400평-190억, 1620평-215억)

# 부평구 지식산업센터 (구)아파트형공장 미계약분 분양중입니다~
(테타, 제타, 엠투, 유원등) 30p형~ 400만원대부터~
90%이상 대출가~ 저렴한이율 1.7%~",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202367528,지식산업센터,월세,03월 03일,150,"3,000",124,63,제이타워공단부동산공인중개사사무소,20220207,,Y,3-11,전용19 지식산업센터 지원시설 근린생활시설 음식점등,"▣ 전용 19평
▣ 근린생활시설
▣ 지식산업센터 내 지원시설
▣ 코너자리 (남동향/양창)
▣ 건물 내 병원, 카페, 기업은행, 스크린골프 등 입점",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202367392,지식산업센터,월세,08월 08일,100,"1,000",169,86,제이타워공단부동산공인중개사사무소,20220207,,Y,840,전용26 드라이브인 층고높음,"▣ 전용 약 26평
▣ 갈산역 / 부평IC 인근
▣ 건물 내 편의점, 카페, 식당 입점
▣ 부평국가산업단지
▣ 드라이브인 시스템, 호실 앞 주차 가능
▣ 화물승강기 有",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202367324,지식산업센터,월세,01월 01일,230,"3,000",80,40,제이타워공단부동산공인중개사사무소,20220207,,Y,1-02,전용12 첫입주 대로변 근생,"▣ 갈산역 인근
▣ 첫 즉시입주
▣ 프랜차이즈/분식점 등 추천
▣ 전용 약 12평
▣ 대로변에 있어 홍보효과 좋음",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202367276,지식산업센터,월세,10월 10일,120,"1,200",169,86,제이타워공단부동산공인중개사사무소,20220207,,Y,1030호,복층O 즉시입주,"▣ 전용 약 26평
▣ 복층공사 되어있음
▣ 갈산역 / 부평IC 인근
▣ 부평국가산업단지
▣ 드라이브인 시스템, 호실 앞 주차 가능
▣ 화물승강기 有",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202293264,중소형사무실,월세,12월 15일,50,500,57,29,모아부동산컨설팅공인,20220207,,Y,1207호,공장등록가능한 소형 사무실  전용9ㅍ,"부평제이타워12층
주차가능
대형화물승강기, 인승기
산업용전기 10kw",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202293307,지식산업센터,월세,08월 15일,100,"1,000",170,86,모아부동산컨설팅공인,20220207,,Y,812호,,"층고5m
전기25kw",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202293349,공장,월세,15/B1,100,"1,000",15788,169,모아부동산컨설팅공인,20220207,,Y,1003,,,인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202247350,지식산업센터,월세,02월 15일,120,"1,000",170,86,제이타워공단부동산공인중개사사무소,20220207,,Y,214호,전용26 저층 드라이브인 호실앞주차,"▣ 부평IC 바로 앞 지식산업센터
▣ 저층임대
▣ 드라이브인 호실 앞 주차가능
▣ 구내식당, 은행, 커피숍, 스크린골프장 등 입점
▣ 신축 지식산업센터",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202269650,지식산업센터,월세,01월 15일,120,"1,200",169,86,스마트밸리공인중개사사무소,20220207,,Y,부평제이타워3차 746호,," ※ 스마트밸리 공인중개사 :오경화 032-837-5344(착신번호) / 010-3749-6482

 * 전용 26평 / 보증금 1200만 / 월 120만
 * 첫 입주하는 역세권 공장입니다. 
 * 층고 6.5미터, 냉난방, 싱크대, 하중무제한, 공장등록
 * 베란다 서비스 면적 있습니다.
 * 부평IC와 가까이 있으며 갈산역까지 도보 가능합니다.
 * 소형공장, 중경량제조,창고,사무실 등 다양한 용도로 입주 가능합니다.

  [입지여건]

 * 1~4층 근린생활시설 / 1~10층 중량제조형공장 / 11~12층 경량제조, 오피스형 공장 / 13~15층 기숙사
 * 갈산역 도보 10분, 부평 고속도로 인근 
 * 9평형부터 29평까지 다양하게 구성되었습니다.

현재 보시는 매물 외에 많은 매물을 보유하고 있으니 부담 없이 편하게 전화주세요.

 ※ 스마트밸리 공인중개사 :오경화 032-837-5344(착신번호) / 010-3749-6482

스마트밸리공인중개사
인천시 연수구 송도미래로30
대표 오경화 010-3749-6482
등록번호 28185-2015-00191",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202246925,지식산업센터,매매,15/15,,"1억 2,000",36,18,부평산단공인중개사사무소,20220207,,Y,15층 15-118호,부평제이타워3차 기숙사 용도,"부평제이타워3차 지식산업센터 13층부터 15층까지의

기숙사 용도의 매물입니다.

몇 개 되지 않는 남향입니다.

-

부평산단공인중개사사무소
032-650-5881

",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202251575,지식산업센터,월세,12월 15일,55,500,57,29,부평산단공인중개사사무소,20220207,,Y,12층 1214호,아담한 소형 사무실,"전용면적 29㎡의 소형 사무실입니다.

부평제이타워3차에서는 귀한 임대매물입니다.

-

부평산단공인중개사사무소
032-650-5881",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202152916,공장,월세,15/B1,120,"1,200",15788,170,모아부동산컨설팅공인,20220207,,Y,117호,1층 공장 분양51ㅍ 전용26ㅍ 베란다2.5ㅍ,"층고6m
동력25kw(삼상380 산업용)- 증설도 가능
부평IC접함 , 갈산역 도보 5분거리
",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201977352,지식산업센터,매매,14/15,,"1억 1,000",36,18,부평제이타워공인중개사사무소,20220207,,Y,14-088,지식산업센터내 기숙사 풀옵션,,인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201934151,창고,월세,15/-,150,"1,500",15788,114100,부평제이타워공인중개사사무소,20220207,,Y,645,복층 전용40ㅍ 에어컨 회의실 탕비실완비,"복층으로 잘 꾸며져 있습니다.
인테리어 필요없이 들어오셔서 사업만 하시면 됩니다.
",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201970695,공장,월세,15/-,120,"1,200",15788,114100,부평제이타워공인중개사사무소,20220207,,Y,119,1층전용26ㅍ 발코니별도2.5ㅍ 6.5m높이의 소형신축공장,,인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201971513,지식산업센터,월세,02월 15일,120,"1,200",169,86,부평제이타워공인중개사사무소,20220207,,Y,233,"환한 저층부 공장및 창고 임대 전용26ㅍ 버란다2.5ㅍ,호실앞주차",,인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201968944,공장,월세,15/-,150,"1,500",15788,114100,부평제이타워공인중개사사무소,20220207,,Y,437,4층 복층 전용 약40ㅍ 에어컨 씽크대 사무실완비,,인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201971731,공장,월세,15/-,120,"1,200",15788,114100,부평제이타워공인중개사사무소,20220207,,Y,233,2층 전용26ㅍ 발코니별도2.5ㅍ 에어컨설치,"*에어컨설치
*출입문교체
*호실앞 물건 상하차가능
*호실앞 주차가능",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201973308,공장,월세,15/-,70,"1,000",15788,114100,부평제이타워공인중개사사무소,20220207,,Y,1136호,전용 약15ㅍ 베란다1.5ㅍ 소형공장 사무실,,인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201974618,지식산업센터,매매,01월 15일,,"7억 4,000",339,172,부평제이타워공인중개사사무소,20220207,,Y,"102,103",중량제조가능 전용52ㅍ 발코니별도5ㅍ 6.5m높이의 소형신축공장,,인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201566964,지식산업센터,월세,06월 15일,150,"1,500",169,86,부평제이타워공인중개사사무소,20220207,,Y,645,,,인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2201554932,지식산업센터,매매,02월 15일,,"4억 5,011",124,63,dh공인중개사사무소,20220207,,Y,2-11호,"수익좋은 투자,부평지식산업센터 근생임차중","-임차인이 맞춰진 투자매매
-부평IC 바로앞, 갈산역 초역세권
-34,000여평 대규모 복합비즈니스센터
-현.디저트카페 임차중(~2023년)
-상가전용 에스컬레이터",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
2202152982,공장,월세,1/B15,110,"1,200",15788,170,모아부동산컨설팅공인,20220207,,N,218호,공장내 차량진입 및 상하차가능 분양51 전용26ㅍ,"2층 공장 
층고5.5m
",인천광역시 부평구 청천동 426-1번지,인천 부평구 청천동 426-1,부평 제이타워3차 지식산업센터
